Codigo;Nombre;Lista 1;Lista 2;Lista 3;Lista 4;Costo;Proveedor;Rubro;Subrubro;Cod. Barra
1161;GALLETA DESFILE;2000;;;;;VARIOS;GOLOSINAS;GOLOSINAS;7790040262102
1162;GALLETA DIVERSION;2400;;;;;VARIOS;GOLOSINAS;GOLOSINAS;7790040143364
77995105;GALLETA DUQUESA 115G;500;;;;;;;;7622300742645
77995107;GALLETA DUQUESA 63G;500;;;;;;;;7622202220531
1163;GALLETA ESTRELLITA PEPA 100G;260;;;;;VARIOS;GOLOSINAS;GOLOSINAS;7791386000212
1164;GALLETA FAUNA X 150;670;;;;;VARIOS;GOLOSINAS;GOLOSINAS;7790628102714
1165;GALLETA FAUNA X 400;1800;;;;;VARIOS;GOLOSINAS;GOLOSINAS;7790628000034
1166;GALLETA FESTIVA;120;;;;;VARIOS;GOLOSINAS;GOLOSINAS;7798102501244
1167;GALLETA FORMIS;750;;;;;VARIOS;GOLOSINAS;GOLOSINAS;7790040139893
1168;GALLETA FORMIS;540;;;;;VARIOS;GOLOSINAS;GOLOSINAS;7790040139916
1169;GALLETA FORMIS 102G;940;;;;;VARIOS;GOLOSINAS;GOLOSINAS;7790040139923
1170;GALLETA FORMIS 102G;1000;;;;;VARIOS;GOLOSINAS;GOLOSINAS;7790040139978
1171;GALLETA FORMIS 72G;540;;;;;VARIOS;GOLOSINAS;GOLOSINAS;7790040139909
1173;GALLETA FORMIS ANIMALES 102G;1000;;;;;VARIOS;GOLOSINAS;GOLOSINAS;7790040139961
1172;GALLETA FORMIS ANIMALES 102G;1000;;;;;VARIOS;GOLOSINAS;GOLOSINAS;7790040139930
1174;GALLETA FORMIS CHICA;245;;;;;VARIOS;GOLOSINAS;GOLOSINAS;7790040534209
1175;GALLETA FORMIS CHICA;245;;;;;VARIOS;GOLOSINAS;GOLOSINAS;7790040534407
1176;GALLETA FORMIS CHOCOLATE 108GRMS;245;;;;;VARIOS;GOLOSINAS;GOLOSINAS;7790040534803
1177;GALLETA FORMIS CHOCOLATE CIANOS;245;;;;;VARIOS;GOLOSINAS;GOLOSINAS;7790040132610
1178;GALLETA FORMIS FRUTILLA 108GRMS;245;;;;;VARIOS;GOLOSINAS;GOLOSINAS;7790040534605
1179;GALLETA FRUTIGRAM AVENA/PASAS;1770;;;;;VARIOS;GOLOSINAS;GOLOSINAS;7790045001188
1180;GALLETA FRUTIGRAM CHIPS DE CHOCOLATE;2190;;;;;VARIOS;GOLOSINAS;GOLOSINAS;7790045824893
1181;GALLETA FRUTIGRAM SALVADO;1200;;;;;VARIOS;GOLOSINAS;GOLOSINAS;7790045001195
1182;GALLETA FRUTIGRAN  AVENA, SES Y GIRAS;1450;;;;;VARIOS;GOLOSINAS;GOLOSINAS;7790045825401
1183;GALLETA FRUTIGRAN AVENA CHIA Y LINO;1770;;;;;VARIOS;GOLOSINAS;GOLOSINAS;7790045825395
1184;GALLETA FRUTIGRAN FRUTOS ROJOS 175G;770;;;;;VARIOS;GOLOSINAS;GOLOSINAS;7790045827054
1185;GALLETA FRUTIGRAN TROPICAL;770;;;;;VARIOS;GOLOSINAS;GOLOSINAS;7790045000815
1186;GALLETA GLINS 200G;880;;;;;VARIOS;GOLOSINAS;GOLOSINAS;7798036830014
1187;GALLETA GLINS 200G;880;;;;;VARIOS;GOLOSINAS;GOLOSINAS;7798036830083
1188;GALLETA GLINS 60G;280;;;;;VARIOS;GOLOSINAS;GOLOSINAS;7798036830137
1190;GALLETA GLINS 90G;420;;;;;VARIOS;GOLOSINAS;GOLOSINAS;7798036830052
1189;GALLETA GLINS 90G;420;;;;;VARIOS;GOLOSINAS;GOLOSINAS;7798036830038
1191;GALLETA GOLCI ANILLOS COCO X 200;840;;;;;VARIOS;GOLOSINAS;GOLOSINAS;7791376000987
1192;GALLETA GOLCI ANILLOS LIMON X 200;840;;;;;VARIOS;GOLOSINAS;GOLOSINAS;7791376000994
1193;GALLETA GOLCI ANILLOS X 200;840;;;;;VARIOS;GOLOSINAS;GOLOSINAS;7791376000970
1194;GALLETA GOLCI CHIPS CON SAL;840;;;;;VARIOS;GOLOSINAS;GOLOSINAS;7791376045421
1195;GALLETA GOLCI COLORES X 300G;840;;;;;VARIOS;GOLOSINAS;GOLOSINAS;7791376045414
1196;GALLETA GOLCI DE 400G;1800;;;;;VARIOS;GOLOSINAS;GOLOSINAS;7791376045407
